query,name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph
"CUIABA, MATO GROSSO, BRAZIL",Cuiaba,Mato Grosso,Brazil,-15.58,-56.08,America/Cuiaba,1703801624,2023-12-28 18:13,1703800800,2023-12-28 18:00,37.0,98.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",5.6,9.0,350,N,1006.0,29.71,0.0,0.0,37,25,39.3,102.8,10.0,6.0,8.0,7.5,12.1
"CAMPO GRANDE, MATO GROSSO DO SUL, BRAZIL",Campo Grande,Mato Grosso do Sul,Brazil,-20.45,-54.62,America/Campo_Grande,1703801624,2023-12-28 18:13,1703800800,2023-12-28 18:00,32.0,89.6,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",10.5,16.9,10,N,1011.0,29.85,0.0,0.0,49,50,30.8,87.4,10.0,6.0,8.0,15.0,24.1
"SAO PAULO, SAO PAULO, BRAZIL",Sao Paulo,Sao Paulo,Brazil,-23.53,-46.62,America/Sao_Paulo,1703801629,2023-12-28 19:13,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",9.4,15.1,150,SSE,1014.0,29.94,0.0,0.0,65,0,26.4,79.6,10.0,6.0,1.0,13.9,22.3
"SAO LUIS, MARANHAO, BRAZIL",Sao Luis,Maranhao,Brazil,-2.52,-44.27,America/Fortaleza,1703801623,2023-12-28 19:13,1703800800,2023-12-28 19:00,28.0,82.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",17.4,28.1,30,NNE,1009.0,29.8,1.24,0.05,84,50,33.4,92.1,10.0,6.0,1.0,19.8,31.9
"BELO HORIZONTE, MINAS GERAIS, BRAZIL",Belo Horizonte,Minas Gerais,Brazil,-19.92,-43.93,America/Sao_Paulo,1703801625,2023-12-28 19:13,1703800800,2023-12-28 19:00,28.0,82.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",10.5,16.9,80,E,1016.0,30.0,0.01,0.0,62,25,35.1,95.2,10.0,6.0,1.0,15.0,24.1
"MACEIO, ALAGOAS, BRAZIL",Maceio,Alagoas,Brazil,-9.67,-35.72,America/Maceio,1703801620,2023-12-28 19:13,1703800800,2023-12-28 19:00,27.0,80.6,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",9.4,15.1,80,E,1013.0,29.91,0.0,0.0,79,25,29.7,85.4,10.0,6.0,1.0,13.2,21.3
"BOA VISTA, RORAIMA, BRAZIL",Boa Vista,Roraima,Brazil,2.82,-60.67,America/Boa_Vista,1703801653,2023-12-28 18:14,1703800800,2023-12-28 18:00,34.0,93.2,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",6.9,11.2,120,ESE,1008.0,29.77,0.0,0.0,44,25,38.4,101.2,10.0,6.0,8.0,10.8,17.4
"MANAUS, AMAZONAS, BRAZIL",Manaus,Amazonas,Brazil,-3.11,-60.03,America/Manaus,1703801645,2023-12-28 18:14,1703800800,2023-12-28 18:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",2.2,3.6,73,ENE,1008.0,29.77,0.0,0.0,71,50,40.5,104.9,10.0,6.0,7.0,6.7,10.8
"VITORIA, ESPIRITO SANTO, BRAZIL",Vitoria,Espirito Santo,Brazil,-20.32,-40.35,America/Sao_Paulo,1703801623,2023-12-28 19:13,1703800800,2023-12-28 19:00,26.0,78.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",5.6,9.0,150,SSE,1014.0,29.94,0.0,0.0,74,75,28.6,83.4,10.0,6.0,1.0,10.1,16.2
"JOAO PESSOA, PARAIBA, BRAZIL",Joao Pessoa,Paraiba,Brazil,-7.12,-34.87,America/Fortaleza,1703801625,2023-12-28 19:13,1703800800,2023-12-28 19:00,27.0,80.6,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",10.5,16.9,120,ESE,1012.0,29.88,0.02,0.0,79,25,29.7,85.5,10.0,6.0,1.0,14.8,23.8
"FORTALEZA, CEARA, BRAZIL",Fortaleza,Ceara,Brazil,-3.32,-41.42,America/Fortaleza,1703801622,2023-12-28 19:13,1703800800,2023-12-28 19:00,29.0,84.2,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",16.1,25.9,60,ENE,1009.0,29.8,0.0,0.0,79,50,34.9,94.8,10.0,6.0,1.0,20.6,33.1
"FLORIANOPOLIS, SANTA CATARINA, BRAZIL",Florianopolis,Santa Catarina,Brazil,-27.58,-48.57,America/Sao_Paulo,1703801643,2023-12-28 19:14,1703800800,2023-12-28 19:00,28.0,82.4,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",16.1,25.9,350,N,1009.0,29.8,0.0,0.0,66,0,32.8,91.0,10.0,6.0,6.0,20.6,33.1
"MACAPA, AMAPA, BRAZIL",Macapa,Amapa,Brazil,0.03,-51.05,America/Belem,1703801620,2023-12-28 19:13,1703800800,2023-12-28 19:00,27.5,81.4,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",11.0,17.6,76,ENE,1010.0,29.84,0.93,0.04,79,72,31.1,88.0,9.0,5.0,1.0,17.4,28.0
"BELEM, PARA, BRAZIL",Belem,Para,Brazil,-1.45,-48.48,America/Belem,1703801625,2023-12-28 19:13,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Patchy light rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/night/386.png', 'code': 1273}",11.9,19.1,80,E,1010.0,29.83,0.04,0.0,94,75,28.0,82.4,3.0,1.0,1.0,16.3,26.3
"CURITIBA, PARANA, BRAZIL",Curitiba,Parana,Brazil,-25.42,-49.25,America/Sao_Paulo,1703801649,2023-12-28 19:14,1703800800,2023-12-28 19:00,29.0,84.2,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",10.5,16.9,340,NNW,1014.0,29.94,0.0,0.0,43,0,33.6,92.5,10.0,6.0,6.0,15.0,24.1
"TERESINA, PIAUI, BRAZIL",Teresina,Piaui,Brazil,-5.08,-42.82,America/Fortaleza,1703801627,2023-12-28 19:13,1703800800,2023-12-28 19:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",4.3,6.8,210,SSW,1007.0,29.74,0.0,0.0,66,75,36.6,97.9,10.0,6.0,1.0,5.2,8.3
"RIO DE JANEIRO, RIO DE JANEIRO, BRAZIL",Rio De Janeiro,Rio de Janeiro,Brazil,-22.9,-43.23,America/Sao_Paulo,1703801651,2023-12-28 19:14,1703800800,2023-12-28 19:00,27.0,80.6,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",8.1,13.0,150,SSE,1011.0,29.85,0.0,0.0,70,0,29.8,85.7,10.0,6.0,1.0,12.3,19.8
"ARACAJU, SERGIPE, BRAZIL",Aracaju,Sergipe,Brazil,-10.92,-37.07,America/Maceio,1703801631,2023-12-28 19:13,1703800800,2023-12-28 19:00,28.0,82.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",12.5,20.2,100,E,1012.0,29.88,0.01,0.0,74,25,31.5,88.7,10.0,6.0,1.0,17.1,27.5
