date,open,high,low,close,volume
2023-12-15,162.3,164.09,162.04,162.23,11016108
2023-12-14,162.93,163.499,160.149,162.91,6129804
2023-12-13,164.37,164.9653,162.735,163.62,4989141
2023-12-12,163.27,166.34,162.92,164.71,5292290
2023-12-11,162.68,163.65,161.95,163.51,6077207
2023-12-08,160.0,162.04,160.0,161.96,4561342
2023-12-07,161.0,161.465,159.97,160.22,3665498
2023-12-06,161.59,162.355,160.01,160.28,3356432
2023-12-05,160.76,162.47,160.72,161.39,4556668
2023-12-04,160.29,162.79,160.29,161.1,5779017
2023-12-01,158.41,160.59,158.0,160.55,4871860
2023-11-30,156.95,158.6,156.89,158.56,6740622
2023-11-29,156.15,157.51,156.02,156.41,3568887
2023-11-28,155.44,155.745,154.86,155.65,2666182
2023-11-27,154.99,156.135,154.75,155.57,4053093
2023-11-24,155.13,155.4,153.92,155.18,1799161
2023-11-22,154.5,155.705,154.16,155.13,3045091
2023-11-21,154.6,154.66,153.51,153.91,2859508
2023-11-20,152.51,154.68,152.35,154.35,3658936
2023-11-17,153.29,153.5,152.4601,152.89,4426676
2023-11-16,153.0,153.35,152.13,153.06,3519172
2023-11-15,150.4,153.22,150.4,152.58,4632519
2023-11-14,149.45,150.8063,149.05,150.41,4321940
2023-11-13,148.46,148.49,147.35,148.1,2647288
2023-11-10,147.44,149.17,146.85,149.02,3179541
2023-11-09,146.55,146.99,145.28,146.62,3412713
2023-11-08,149.25,149.68,147.585,148.03,3618588
2023-11-07,149.03,149.28,148.03,148.83,3549853
2023-11-06,147.89,149.225,147.85,148.97,4597249
2023-11-03,147.45,148.445,147.28,147.9,3510495
2023-11-02,145.77,147.1,144.84,147.01,3902657
2023-11-01,145.0,146.51,144.45,145.4,4750081
2023-10-31,143.0,144.76,142.59,144.64,6592041
2023-10-30,143.19,144.5,142.58,142.63,4204190
2023-10-27,143.62,144.7,141.71,142.52,5469227
2023-10-26,142.2,144.41,141.58,143.76,11130170
2023-10-25,137.5,138.49,136.33,137.08,6472549
2023-10-24,136.74,137.98,136.05,137.79,3697975
2023-10-23,136.63,137.68,135.87,136.38,3457527
2023-10-20,138.15,139.27,137.12,137.16,4865615
2023-10-19,138.64,139.405,137.93,138.01,5314159
2023-10-18,140.0,140.43,139.58,139.97,3329985
2023-10-17,137.12,140.62,136.31,140.32,4172822
2023-10-16,139.28,139.78,138.52,139.21,3361468
2023-10-13,139.77,140.12,138.27,138.46,4583553
2023-10-12,142.51,142.93,140.95,141.24,3921142
2023-10-11,142.51,143.34,142.14,143.23,2511459
2023-10-10,142.6,143.415,141.72,142.11,3015784
2023-10-09,142.3,142.4,140.68,142.2,2354396
2023-10-06,141.4,142.94,140.11,142.03,3511347
2023-10-05,140.9,141.7,140.19,141.52,3223910
2023-10-04,140.37,141.2004,139.99,141.07,2637779
2023-10-03,140.87,141.64,140.0,140.39,3284421
2023-10-02,140.04,141.45,139.86,140.8,3275461
2023-09-29,142.0,142.13,139.61,140.3,5703983
2023-09-28,142.14,142.282,140.205,141.58,5783422
2023-09-27,143.67,143.82,141.76,143.17,4439121
2023-09-26,145.51,146.17,143.0201,143.24,4824654
2023-09-25,146.57,147.43,146.25,146.48,2694245
2023-09-22,147.41,148.1,146.82,146.91,2562216
2023-09-21,149.0,149.25,147.31,147.38,4944786
2023-09-20,148.36,151.9299,148.13,149.83,9636681
2023-09-19,145.0,146.72,144.66,146.52,3945423
2023-09-18,145.77,146.48,145.06,145.09,2508062
2023-09-15,147.11,147.85,145.53,145.99,6234033
2023-09-14,147.38,147.73,146.48,147.35,2723200
2023-09-13,145.95,146.98,145.92,146.55,2627999
2023-09-12,147.92,148.0,145.8,146.3,4457695
2023-09-11,148.57,148.78,147.58,148.38,3273720
2023-09-08,147.35,148.59,147.26,147.68,3722927
2023-09-07,148.13,148.78,147.4,147.52,3333040
2023-09-06,147.66,148.33,147.12,148.06,2932203
2023-09-05,147.91,149.0,147.5719,148.13,3731281
2023-09-01,147.26,148.1,146.92,147.94,2727796
2023-08-31,146.94,147.7275,146.54,146.83,3885949
2023-08-30,146.42,146.92,145.7452,146.86,2245402
2023-08-29,146.3,146.73,145.62,146.45,2778113
2023-08-28,145.41,146.74,145.21,146.02,3561347
2023-08-25,144.18,145.47,143.5,145.35,3660147
2023-08-24,143.505,144.47,143.22,143.55,2900244
2023-08-23,141.72,143.475,141.58,143.41,2559083
2023-08-22,142.66,143.225,141.3,141.49,3557734
2023-08-21,141.42,142.39,141.11,142.28,2937781
2023-08-18,140.0,141.83,139.76,141.41,3915480
2023-08-17,141.01,142.66,140.6,140.66,3742058
2023-08-16,141.7,142.09,140.56,140.64,3285347
2023-08-15,141.5,142.31,141.2,141.87,3656559
2023-08-14,143.05,143.365,141.802,141.91,4226563
2023-08-11,143.12,143.45,142.205,143.12,2526433
2023-08-10,143.04,144.58,142.69,143.25,4735763
2023-08-09,144.94,144.94,142.3,142.49,4073038
2023-08-08,145.7,146.15,144.11,145.91,4654582
2023-08-07,145.0,146.5,144.93,146.18,3438654
2023-08-04,145.09,146.09,143.99,144.24,4223204
2023-08-03,143.78,145.22,143.3116,144.45,3952640
2023-08-02,142.78,144.3,142.31,144.17,4959381
2023-08-01,144.25,144.48,142.17,143.33,4798703
2023-07-31,143.81,144.605,143.53,144.18,6138902
2023-07-28,143.44,143.95,142.85,143.45,6686627
2023-07-27,142.3,143.38,141.9,142.97,6331563
